text,label
"It works, but this thing.",Neutral
Perfect for what I bought.,Positive
"It does the job, the purchase.",Neutral
An expected result from this item.,Neutral
An expected result from this thing.,Neutral
Thrilled to use the tool.,Positive
Won’t recommend the gadget.,Negative
Poor quality from what I bought.,Negative
Delighted by this product.,Positive
"It's functional, but this product.",Neutral
"It works, but the tool.",Neutral
"Not worth it, this thing.",Negative
Horrible service from the device.,Negative
Highly recommend the purchase.,Positive
Won’t recommend the device.,Negative
"Neither great nor bad, what I bought.",Neutral
Incredibly satisfied with the material.,Positive
Mediocre experience with this product.,Neutral
"It’s okay, just the gadget.",Neutral
Thrilled to use the purchase.,Positive
An expected result from this product.,Neutral
Nothing special about this item.,Neutral
"It’s okay, just this equipment.",Neutral
Highly recommend this product.,Positive
"Fairly standard, this equipment.",Neutral
"Doesn’t work as promised, what I bought.",Negative
Poor quality from the device.,Negative
"Not worth it, what I bought.",Negative
Absolutely love what I bought.,Positive
Delighted by this item.,Positive
"Not worth it, this item.",Negative
Waste of money on the purchase.,Negative
Fantastic quality from the purchase.,Positive
Mediocre experience with the purchase.,Neutral
Terrible experience with this item.,Negative
Waste of money on this thing.,Negative
Super happy with this thing.,Positive
Exceeded expectations with this item.,Positive
Absolutely love the tool.,Positive
"Just average, this thing.",Neutral
Very disappointed by the device.,Negative
Completely dissatisfied with the tool.,Negative
"It works, but this equipment.",Neutral
Highly recommend the gadget.,Positive
"It's functional, but this equipment.",Neutral
Super happy with this product.,Positive
"It does the job, this product.",Neutral
"Just average, this equipment.",Neutral
"Not worth it, the tool.",Negative
"It does the job, this equipment.",Neutral
An expected result from the device.,Neutral
Horrible service from what I bought.,Negative
Perfect for this equipment.,Positive
Terrible experience with this equipment.,Negative
"It's functional, but this item.",Neutral
Incredibly satisfied with this thing.,Positive
"Just average, the device.",Neutral
Absolutely love this item.,Positive
Waste of money on what I bought.,Negative
Super happy with the material.,Positive
Fantastic quality from the tool.,Positive
"It's functional, but the gadget.",Neutral
Absolutely love the purchase.,Positive
Regret buying this equipment.,Negative
Completely dissatisfied with the gadget.,Negative
Exceeded expectations with what I bought.,Positive
Very disappointed by this item.,Negative
"It works, but the purchase.",Neutral
"It does the job, the material.",Neutral
Super happy with the gadget.,Positive
Perfect for this item.,Positive
Delighted by the device.,Positive
"It's functional, but the material.",Neutral
"It’s okay, just the device.",Neutral
Completely dissatisfied with the device.,Negative
"Doesn’t work as promised, the material.",Negative
Terrible experience with this product.,Negative
Perfect for the tool.,Positive
Waste of money on this item.,Negative
Top-notch performance from this item.,Positive
Poor quality from the tool.,Negative
Terrible experience with the tool.,Negative
Terrible experience with the material.,Negative
Nothing special about this equipment.,Neutral
Exceeded expectations with the purchase.,Positive
Delighted by the material.,Positive
"Fairly standard, the tool.",Neutral
"Doesn’t work as promised, this equipment.",Negative
"Not worth it, the material.",Negative
Very disappointed by this equipment.,Negative
Won’t recommend this product.,Negative
"It works, but this product.",Neutral
"It works, but the gadget.",Neutral
Exceeded expectations with the device.,Positive
Top-notch performance from the gadget.,Positive
Highly recommend what I bought.,Positive
Super happy with the purchase.,Positive
Thrilled to use this product.,Positive
"Just average, the gadget.",Neutral
Horrible service from this thing.,Negative
